0,1,2,3,4,5,6,7,8,9,10
1,0,90.03,135,164.3,185.6,202.2,215.8,227.2,237,245.6
2,0,14.04,19.02,22.29,24.72,26.63,28.20,29.53,30.68,31.69
3,0,8.26,10.62,12.17,13.33,14.24,15.00,15.64,16.20,16.69
4,0,6.51,8.12,9.17,9.96,10.58,11.10,11.55,11.93,12.27
5,0,5.70,6.98,7.80,8.42,8.91,9.32,9.67,9.97,10.24
6,0,5.24,6.33,7.03,7.56,7.97,8.32,8.61,8.87,9.10
7,0,4.95,5.92,6.54,7.01,7.37,7.68,7.94,8.17,8.37
8,0,4.75,5.64,6.20,6.62,6.96,7.24,7.47,7.68,7.86
9,0,4.60,5.43,5.96,6.35,6.66,6.91,7.13,7.33,7.49
10,0,4.48,5.27,5.77,6.14,6.43,6.67,6.87,7.05,7.21
11,0,4.39,5.15,5.62,5.97,6.25,6.48,6.67,6.84,6.99
12,0,4.32,5.05,5.50,5.84,6.10,6.32,6.51,6.67,6.81
13,0,4.26,4.96,5.40,5.73,5.98,6.19,6.37,6.53,6.67
14,0,4.21,4.89,5.32,5.63,5.88,6.08,6.26,6.41,6.54
15,0,4.17,4.84,5.25,5.56,5.80,5.99,6.16,6.31,6.44
16,0,4.13,4.79,5.19,5.49,5.72,5.92,6.08,6.22,6.35
17,0,4.10,4.74,5.14,5.43,5.66,5.85,6.01,6.15,6.27
18,0,4.07,4.70,5.09,5.38,5.60,5.79,5.94,6.08,6.20
19,0,4.05,4.67,5.05,5.33,5.55,5.73,5.89,6.02,6.14
20,0,4.02,4.64,5.02,5.29,5.51,5.69,5.84,5.97,6.09
24,0,3.96,4.55,4.91,5.17,5.37,5.54,5.69,5.81,5.92
30,0,3.89,4.45,4.80,5.05,5.24,5.40,5.54,5.65,5.76
40,0,3.82,4.37,4.70,4.93,5.11,5.26,5.39,5.50,5.60
60,0,3.76,4.28,4.59,4.82,4.99,5.13,5.25,5.36,5.45
120,0,3.70,4.20,4.50,4.71,4.87,5.01,5.12,5.21,5.30
9999,0,3.64,4.12,4.40,4.60,4.76,4.88,4.99,5.08,5.16
