X,Xsum,Y,Ysum
-13.75755,-13.75755,-3.454739,-3.454739
24.14806,10.39052,-22.74832,-26.20306
-3.014133,7.376384,17.82704,-8.376019
13.4186,20.79499,-12.88846,-21.26448
-6.918258,13.87673,12.40039,-8.864092
-24.93949,-11.06276,13.16802,4.303929
24.99232,13.92956,-22.1103,-17.80637
8.149036,22.0786,21.50804,3.701672
25.2336,47.3122,-19.68555,-15.98388
-17.57015,29.74205,-20.58514,-36.56902
-21.19311,8.548943,-20.686,-57.25502
-15.83163,-7.282684,-20.29548,-77.55049
-18.10777,-25.39046,-2.344062,-79.89455
24.88701,-0.5034485,-27.64576,-107.5403
-7.833156,-8.336604,24.9699,-82.57042
1.355307,-6.981297,22.03158,-60.53884
-29.3759,-36.35719,-23.94711,-84.48595
23.9173,-12.43989,20.39753,-64.08842
11.80254,-0.6373501,-0.02563095,-64.11406
-3.31731,-3.95466,-2.267464,-66.38152
27.53556,23.5809,-6.122157,-72.50368
24.01222,47.59312,25.40427,-47.0994
24.93988,72.533,18.76164,-28.33776
20.82378,93.35678,19.11937,-9.218399
6.5014,99.85818,-14.4106,-23.629
-27.53825,72.31994,5.354608,-18.27439
1.464483,73.78442,-22.75721,-41.0316
18.37392,92.15835,-2.406925,-43.43853
-29.73046,62.42789,-19.82007,-63.2586
5.657977,68.08587,-9.155571,-72.41417
8.090479,76.17635,-6.035831,-78.45
1.765026,77.94138,7.297085,-71.15291
-15.57524,62.36614,-17.53045,-88.68335
-11.93369,50.43245,28.23923,-60.44412
4.239038,54.67149,21.58421,-38.85991
23.24455,77.91604,12.27495,-26.58496
1.673372,79.58941,-7.999103,-34.58407
-11.58188,68.00752,-4.308625,-38.89269
-25.07349,42.93403,-18.12106,-57.01375
-9.37371,33.56032,-20.71127,-77.72502
15.72565,49.28598,26.03923,-51.68579
-26.69294,22.59304,4.824689,-46.8611
21.89698,44.49002,13.63388,-33.22722
9.491007,53.98103,-28.07349,-61.30072
-21.46646,32.51456,-20.83121,-82.13193
26.8434,59.35796,-20.55268,-102.6846
8.045582,67.40355,-5.705871,-108.3905
23.82296,91.22651,-11.84009,-120.2306
-15.17169,76.05482,-25.80947,-146.04
2.035336,78.09015,28.79758,-117.2425
