X,Xsum,Y,Ysum
1.153261,1.153261,5.097173,5.097173
-29.10538,-27.95212,0.8849316,5.982104
5.563756,-22.38836,-26.09241,-20.11031
-17.17298,-39.56134,19.51526,-0.5950508
3.826443,-35.7349,-27.03044,-27.62549
7.23214,-28.50276,-7.613701,-35.23919
-0.647768,-29.15053,-26.33296,-61.57215
2.444097,-26.70643,-26.96632,-88.53847
-5.165817,-31.87225,-29.66506,-118.2035
-13.77782,-45.65007,5.056568,-113.147
19.6852,-25.96488,-17.09372,-130.2407
18.34908,-7.615801,-23.41325,-153.6539
-12.38272,-19.99852,-17.23014,-170.8841
9.895648,-10.10287,-20.11494,-190.999
10.78402,0.6811457,17.17116,-173.8278
28.00076,28.6819,9.873589,-163.9543
13.74073,42.42264,-13.88605,-177.8403
29.26186,71.68449,-19.96373,-197.804
18.66838,90.35287,-27.2106,-225.0146
27.15774,117.5106,-12.43873,-237.4534
15.77093,133.2815,-20.47202,-257.9254
29.90898,163.1905,18.73573,-239.1897
-2.273559,160.917,16.19685,-222.9928
-23.63509,137.2819,-28.14631,-251.1391
8.18975,145.4716,-18.07106,-269.2102
19.64955,165.1212,6.923321,-262.2869
-20.79608,144.3251,8.711334,-253.5755
25.49955,169.8246,-3.654174,-257.2297
-4.897739,164.9269,-26.9461,-284.1758
-1.599251,163.3277,-29.2607,-313.4365
-16.33778,146.9899,-22.23275,-335.6693
-14.64306,132.3468,3.889893,-331.7794
-8.929707,123.4171,-17.92323,-349.7026
-0.5458374,122.8713,-4.665896,-354.3685
10.92933,133.8006,-27.55097,-381.9195
20.50835,154.309,-18.16185,-400.0813
-24.07863,130.2303,1.00963,-399.0717
-13.44789,116.7824,-5.08578,-404.1574
12.41673,129.1992,-2.566685,-406.7241
29.21225,158.4114,10.78934,-395.9348
13.26115,171.6726,23.30744,-372.6273
-16.94442,154.7282,-22.30536,-394.9327
-28.18159,126.5466,15.84201,-379.0907
-4.006187,122.5404,5.012115,-374.0786
29.54876,152.0891,-2.0353,-376.1139
29.71063,-178.2002,-1.053833,-377.1677
-15.19963,-193.3999,-11.07283,-388.2406
16.10279,-177.2971,23.23357,-365.007
10.94841,-166.3487,-11.71601,-376.723
-13.65953,-180.0082,7.84024,-368.8828
