X,Xsum,Y,Ysum
22.34763,22.34763,14.18746,14.18746
15.0769,37.42453,-9.656242,4.531219
-19.91088,17.51365,-11.54618,-7.014965
6.624946,24.13859,18.46983,11.45487
-5.929688,18.2089,7.11142,18.56629
-4.642307,13.5666,-2.435786,16.1305
4.517816,18.08441,-16.00976,0.120739
2.480361,20.56477,-28.48271,-28.36197
10.72716,31.29193,22.12854,-6.233429
23.26975,54.56168,-2.656098,-8.889527
27.32716,81.88884,-18.89293,-27.78246
-19.76633,62.12251,-11.81882,-39.60128
-17.97196,44.15055,16.20179,-23.39949
22.71237,66.86292,-26.93914,-50.33863
-15.6081,51.25482,-28.60654,-78.94516
-11.8501,39.40472,27.89072,-51.05444
-17.30941,22.09531,-8.148933,-59.20338
13.28987,35.38517,-0.5852966,-59.78867
7.157611,42.54279,-13.90176,-73.69043
-29.3827,13.16009,-15.24829,-88.93872
-10.18899,2.971101,-13.44051,-102.3792
-25.74558,-22.77448,-12.8418,-115.221
-15.08058,-37.85506,25.37849,-89.84253
1.841587,-36.01347,-25.89433,-115.7369
16.38088,-19.6326,2.942237,-112.7946
-22.45943,-42.09203,-21.95337,-134.748
0.746809,-41.34521,2.800201,-131.9478
11.73427,-29.61094,-7.400269,-139.3481
2.34846,-27.26248,-19.15778,-158.5058
-24.86309,-52.12557,20.34485,-138.161
27.99275,-24.13282,20.59903,-117.562
-8.088802,-32.22163,26.68073,-90.88122
22.57152,-9.650108,10.89196,-79.98926
-26.89406,-36.54417,-20.8367,-100.826
16.88186,-19.66231,-19.84086,-120.6668
9.622371,-10.03994,28.32387,-92.34295
14.28725,4.247317,-2.904442,-95.24739
-25.12958,-20.88226,8.791465,-86.45592
8.596622,-12.28564,-14.994,-101.4499
8.566833,-3.718809,18.85434,-82.59558
15.33795,11.61914,-29.89798,-112.4936
3.77071,15.38985,26.8592,-85.63436
19.81055,35.20041,-0.4892235,-86.12358
-9.556064,25.64434,-12.98315,-99.10673
20.36113,46.00547,-28.55218,-127.6589
-16.54693,29.45854,16.36547,-111.2934
-29.05445,0.4040833,24.14922,-87.14422
-22.08566,-21.68158,-17.40189,-104.5461
21.2937,-0.3878746,-11.88529,-116.4314
2.147573,1.759698,4.956239,-111.4752
