X,Xsum,Y,Ysum
-22.92153,-22.92153,22.82248,22.82248
-18.99979,-41.92132,8.389598,31.21208
16.39876,-25.52256,-20.95581,10.25627
-16.06973,-41.59229,-18.74784,-8.49157
-4.91391,-46.5062,15.33661,6.845043
-23.47898,-69.98518,-27.38811,-20.54306
26.16431,-43.82087,26.96046,6.417393
4.871704,-38.94917,23.62894,30.04633
10.00912,-28.94005,26.06191,56.10824
-25.41027,-54.35032,0.6884232,56.79666
11.65772,-42.6926,-19.29616,37.5005
12.4579,-30.2347,-23.30327,14.19723
12.62076,-17.61395,-16.95565,-2.758415
10.28537,-7.328576,-20.6177,-23.37611
23.99118,16.66261,13.99995,-9.376164
9.186443,25.84905,-29.80547,-39.18163
-3.390553,22.4585,21.83686,-17.34477
-7.183259,15.27524,16.83917,-0.5056
-27.02283,-11.74759,21.65143,21.14583
-12.41726,-24.16485,-14.27407,6.871758
-0.486763,-24.65161,19.31461,26.18637
-12.80173,-37.45334,-0.7934799,25.39289
2.293056,-35.16029,26.87653,52.26942
-0.1511879,-35.31147,-16.12897,36.14045
-6.533665,-41.84514,-11.12856,25.01189
29.65281,-12.19232,-14.05864,10.95325
-13.27743,-25.46976,10.94802,21.90127
6.993996,-18.47576,-18.49485,3.406414
27.60968,9.133921,-2.032295,1.374119
14.47984,23.61376,-0.9417095,0.4324093
17.94094,41.55471,13.28348,13.71589
-22.23794,19.31677,24.4639,38.17979
14.80418,34.12096,5.084671,43.26446
-5.252506,28.86845,1.592241,44.8567
-21.13456,7.733894,22.01445,66.87115
-19.58819,-11.85429,9.701892,76.57304
-24.28873,-36.14303,0.9415016,77.51454
-13.63309,-49.77612,-16.8142,60.70034
10.08644,-39.68967,13.46937,74.16972
-7.201656,-46.89133,-4.102281,70.06744
-12.88819,-59.77952,19.26025,89.32768
2.787712,-56.99181,-9.714622,79.61306
14.65899,-42.33282,2.2565,81.86956
-3.112889,-45.44571,13.9178,95.78736
-8.639127,-54.08484,23.36805,119.1554
5.100986,-48.98385,-21.88833,97.26708
-6.152283,-55.13614,19.97689,117.244
8.968112,-46.16802,-20.88292,96.36105
-16.44934,-62.61736,-29.43804,66.92302
20.39239,-42.22497,25.24249,92.1655
