X,Xsum,Y,Ysum
24.98321,24.98321,15.41267,15.41267
-9.029807,15.9534,21.11745,36.53011
-24.12719,-8.173781,-29.33866,7.191452
13.44172,5.267941,-13.97112,-6.779663
-17.96377,-12.69583,9.799811,3.020148
-21.71739,-34.41322,1.166079,4.186227
-15.35159,-49.76481,5.3064,9.492627
-19.71207,-69.47688,2.360233,11.85286
-20.32623,-89.80311,-16.09626,-4.243403
-7.55143,-97.35454,16.39322,12.14982
-20.79891,-118.1534,-14.00544,-1.855618
10.07842,-108.075,-15.11433,-16.96995
-16.03584,-124.1109,-5.470688,-22.44064
19.59343,-104.5174,6.994082,-15.44656
-1.6299,-106.1473,-10.3494,-25.79595
1.080669,-105.0667,-2.72736,-28.52331
21.32087,-83.74579,25.86498,-2.658333
-21.16575,-104.9115,-12.26587,-14.92421
-10.60183,-115.5134,-23.66557,-38.58977
-16.21878,-131.7321,-22.41588,-61.00565
8.950839,-122.7813,-3.040771,-64.04642
-9.472607,-132.2539,-28.34731,-92.39372
-2.908562,-135.1625,-18.11641,-110.5101
5.125813,-130.0367,2.539497,-107.9706
15.51226,-114.5244,21.67909,-86.29154
-10.35111,-124.8755,-25.43096,-111.7225
-26.97352,-151.849,27.51247,-84.21004
-13.13683,-164.9859,3.437408,-80.77263
14.52329,-150.4626,-15.01789,-95.79053
-8.606662,-159.0692,-7.844335,-103.6349
-3.928775,-162.998,-2.810894,-106.4458
18.73712,-144.2609,1.443876,-105.0019
7.343391,-136.9175,24.6156,-80.38628
8.437285,-128.4802,-29.57413,-109.9604
-27.16403,-155.6442,-9.255956,-119.2164
19.25119,-136.393,26.53143,-92.68494
15.21158,-121.1815,-9.814929,-102.4999
15.8756,-105.3059,-13.38162,-115.8815
-18.93318,-124.239,-1.076477,-116.958
-10.5993,-134.8383,23.89988,-93.05807
-5.855473,-140.6938,-25.10922,-118.1673
-0.07497025,-140.7688,-20.10258,-138.2699
-25.46928,-166.238,-8.189582,-146.4595
10.87863,-155.3594,-1.548775,-148.0082
-10.65437,-166.0138,-15.01143,-163.0197
23.08695,-142.9268,-28.11133,-191.131
-0.4502144,-143.377,0.1136723,-191.0173
29.25716,-114.1199,26.4735,-164.5438
7.002608,-107.1173,22.62142,-141.9224
20.3784,-86.73886,28.71263,-113.2098
